id-partido,temporada,fecha,jornada,equipo-local,equipo-visitante,goles-local,goles-visitante,estadio
1,2021-2022_1_C,6/01/2022,Jornada 1,Club Atlético de San Luis,Pachuca,0,2,Alfonso Lastras Ramírez
2,2021-2022_1_C,7/01/2022,Jornada 1,FC Juárez,Necaxa,2,1,Olímpico Benito Juárez
3,2021-2022_1_C,7/01/2022,Jornada 1,Puebla,América,1,1,Cuauhtémoc
4,2021-2022_1_C,8/01/2022,Jornada 1,Monterrey,Querétaro,0,0,Estadio BBVA
5,2021-2022_1_C,8/01/2022,Jornada 1,Cruz Azul,Tijuana,2,0,Azteca
6,2021-2022_1_C,9/01/2022,Jornada 1,Guadalajara,Mazatlán FC,3,0,Estadio AKRON
7,2021-2022_1_C,10/01/2022,Jornada 1,Pumas,Toluca,5,0,Olímpico Universitario
8,2021-2022_1_C,12/01/2022,Jornada 1,Santos Laguna,Tigres,1,1,TSM Corona
9,2021-2022_1_C,14/01/2022,Jornada 2,Querétaro,Pumas,1,3,La Corregidora
10,2021-2022_1_C,14/01/2022,Jornada 2,Necaxa,Monterrey,0,4,Victoria
11,2021-2022_1_C,15/01/2022,Jornada 2,Atlas,Club Atlético de San Luis,1,0,Jalisco
12,2021-2022_1_C,15/01/2022,Jornada 2,Tigres,Puebla,0,2,Universitario
13,2021-2022_1_C,15/01/2022,Jornada 2,Cruz Azul,FC Juárez,1,0,Azteca
14,2021-2022_1_C,15/01/2022,Jornada 2,Tijuana,León,1,1,Caliente
15,2021-2022_1_C,16/01/2022,Jornada 2,Toluca,Santos Laguna,3,1,Nemesio Diez
16,2021-2022_1_C,16/01/2022,Jornada 2,Pachuca,Guadalajara,2,1,Hidalgo
17,2021-2022_1_C,19/01/2022,Jornada 1,León,Atlas,1,1,Nou Camp
18,2021-2022_1_C,20/01/2022,Jornada 3,Club Atlético de San Luis,FC Juárez,0,1,Alfonso Lastras Ramírez
19,2021-2022_1_C,21/01/2022,Jornada 3,Mazatlán FC,Toluca,1,2,Estadio Mazatlán
20,2021-2022_1_C,22/01/2022,Jornada 3,Guadalajara,Querétaro,1,1,Estadio AKRON
21,2021-2022_1_C,22/01/2022,Jornada 3,León,Pachuca,2,1,Nou Camp
22,2021-2022_1_C,22/01/2022,Jornada 3,América,Atlas,0,2,Azteca
23,2021-2022_1_C,22/01/2022,Jornada 3,Monterrey,Cruz Azul,2,2,Estadio BBVA
24,2021-2022_1_C,23/01/2022,Jornada 3,Pumas,Tigres,1,2,Olímpico Universitario
25,2021-2022_1_C,23/01/2022,Jornada 3,Santos Laguna,Necaxa,1,4,TSM Corona
26,2021-2022_1_C,28/01/2022,Jornada 3,Puebla,Tijuana,3,1,Cuauhtémoc
27,2021-2022_1_C,5/02/2022,Jornada 4,Necaxa,Pachuca,1,3,Victoria
28,2021-2022_1_C,5/02/2022,Jornada 4,América,Club Atlético de San Luis,2,3,Azteca
29,2021-2022_1_C,5/02/2022,Jornada 4,Tijuana,Pumas,1,0,Caliente
30,2021-2022_1_C,6/02/2022,Jornada 4,Querétaro,Puebla,0,2,La Corregidora
31,2021-2022_1_C,6/02/2022,Jornada 4,Atlas,Santos Laguna,2,1,Jalisco
32,2021-2022_1_C,6/02/2022,Jornada 4,Tigres,Mazatlán FC,4,3,Universitario
33,2021-2022_1_C,7/02/2022,Jornada 4,León,Cruz Azul,0,1,Nou Camp
34,2021-2022_1_C,9/02/2022,Jornada 4,FC Juárez,Guadalajara,1,3,Olímpico Benito Juárez
35,2021-2022_1_C,11/02/2022,Jornada 5,Mazatlán FC,Tijuana,2,0,Estadio Mazatlán
36,2021-2022_1_C,11/02/2022,Jornada 5,Puebla,Atlas,1,1,Cuauhtémoc
37,2021-2022_1_C,12/02/2022,Jornada 5,Club Atlético de San Luis,Toluca,0,1,Alfonso Lastras Ramírez
38,2021-2022_1_C,12/02/2022,Jornada 5,Guadalajara,Tigres,1,3,Estadio AKRON
39,2021-2022_1_C,12/02/2022,Jornada 5,Cruz Azul,Necaxa,1,2,Azteca
40,2021-2022_1_C,12/02/2022,Jornada 5,Santos Laguna,América,2,3,TSM Corona
41,2021-2022_1_C,13/02/2022,Jornada 5,Pumas,León,2,1,Olímpico Universitario
42,2021-2022_1_C,14/02/2022,Jornada 5,Pachuca,Querétaro,2,2,Hidalgo
43,2021-2022_1_C,16/02/2022,Jornada 2,Mazatlán FC,América,2,1,Estadio Mazatlán
44,2021-2022_1_C,18/02/2022,Jornada 6,Puebla,Monterrey,1,0,Cuauhtémoc
45,2021-2022_1_C,18/02/2022,Jornada 6,FC Juárez,Santos Laguna,0,0,Olímpico Benito Juárez
46,2021-2022_1_C,18/02/2022,Jornada 6,Tijuana,Necaxa,1,1,Caliente
47,2021-2022_1_C,19/02/2022,Jornada 6,Querétaro,Mazatlán FC,2,0,La Corregidora
48,2021-2022_1_C,19/02/2022,Jornada 6,Tigres,Club Atlético de San Luis,2,1,Universitario
49,2021-2022_1_C,19/02/2022,Jornada 6,León,Guadalajara,2,1,Nou Camp
50,2021-2022_1_C,20/02/2022,Jornada 6,América,Pachuca,1,3,Azteca
51,2021-2022_1_C,20/02/2022,Jornada 6,Toluca,Cruz Azul,1,4,Nemesio Diez
52,2021-2022_1_C,20/02/2022,Jornada 6,Atlas,Pumas,0,0,Jalisco
53,2021-2022_1_C,24/02/2022,Jornada 7,Pachuca,Mazatlán FC,3,1,Hidalgo
54,2021-2022_1_C,24/02/2022,Jornada 7,Querétaro,Toluca,1,1,La Corregidora
55,2021-2022_1_C,25/02/2022,Jornada 7,Necaxa,León,0,1,Victoria
56,2021-2022_1_C,25/02/2022,Jornada 7,FC Juárez,Tigres,2,3,Olímpico Benito Juárez
57,2021-2022_1_C,25/02/2022,Jornada 7,Tijuana,Atlas,2,0,Caliente
58,2021-2022_1_C,26/02/2022,Jornada 7,Monterrey,Club Atlético de San Luis,0,2,Estadio BBVA
59,2021-2022_1_C,26/02/2022,Jornada 7,Guadalajara,Puebla,2,3,Estadio AKRON
