POS,equipo,goles_contra,temporada
1,León,13,2022-2023_C
2,Monterrey,14,2022-2023_C
3,Tigres,17,2022-2023_C
4,Guadalajara,18,2022-2023_C
5,Toluca,19,2022-2023_C
6,América,21,2022-2023_C
7,Querétaro,21,2022-2023_C
8,Atlético de San Luis,21,2022-2023_C
9,Cruz Azul,22,2022-2023_C
10,Atlas,22,2022-2023_C
11,Pachuca,24,2022-2023_C
12,Necaxa,24,2022-2023_C
13,FC Juárez,25,2022-2023_C
14,Tijuana,29,2022-2023_C
15,Puebla,32,2022-2023_C
16,Pumas,32,2022-2023_C
17,Santos Laguna,37,2022-2023_C
18,Mazatlán FC,41,2022-2023_C
1,Monterrey,13,2022-2023_A
2,Tigres,14,2022-2023_A
3,Pachuca,15,2022-2023_A
4,América,17,2022-2023_A
5,Guadalajara,17,2022-2023_A
6,FC Juárez,18,2022-2023_A
7,Santos Laguna,21,2022-2023_A
8,Toluca,23,2022-2023_A
9,Puebla,23,2022-2023_A
10,Atlético de San Luis,23,2022-2023_A
11,Mazatlán FC,24,2022-2023_A
12,Necaxa,26,2022-2023_A
13,Atlas,27,2022-2023_A
14,León,29,2022-2023_A
15,Tijuana,30,2022-2023_A
16,Pumas,31,2022-2023_A
17,Cruz Azul,34,2022-2023_A
18,Querétaro,35,2022-2023_A
