POS,equipo,JJ,JG,JE,JP,GF,GC,DIF,PTS,JJ_L,JG_L,JE_L,JP_L,GF_L,GC_L,DIF_L,PTS_L,JJ_V,JG_V,JE_V,JP_V,GF_V,GC_V,DIF_V,PTS_V,temporada
1.0,Monterrey,17,13,1,3,35,14,21,40,9,7,0,2,21,7,14,21,8,6,1,1,14,7,7,19,2022-2023_C
2.0,América,17,9,7,1,36,21,15,34,9,4,4,1,17,11,6,16,8,5,3,0,19,10,9,18,2022-2023_C
3.0,Guadalajara,17,10,4,3,28,18,10,34,8,5,1,2,15,10,5,16,9,5,3,1,13,8,5,18,2022-2023_C
4.0,Toluca,17,9,5,3,34,19,15,32,8,5,3,0,18,7,11,18,9,4,2,3,16,12,4,14,2022-2023_C
5.0,Pachuca,17,10,1,6,32,24,8,31,8,4,1,3,16,11,5,13,9,6,0,3,16,13,3,18,2022-2023_C
6.0,León,17,8,6,3,23,13,10,30,9,5,2,2,14,6,8,17,8,3,4,1,9,7,2,13,2022-2023_C
7.0,Tigres,17,7,4,6,20,17,3,25,9,3,2,4,11,10,1,11,8,4,2,2,9,7,2,14,2022-2023_C
8.0,Cruz Azul,17,7,3,7,21,22,-1,24,8,5,0,3,10,9,1,15,9,2,3,4,11,13,-2,9,2022-2023_C
9.0,Atlas,17,4,9,4,27,22,5,21,9,2,4,3,13,13,0,10,8,2,5,1,14,9,5,11,2022-2023_C
10.0,Querétaro,17,4,8,5,16,21,-5,20,9,2,5,2,10,12,-2,11,8,2,3,3,6,9,-3,9,2022-2023_C
11.0,Puebla,17,6,2,9,26,32,-6,20,8,4,0,4,14,14,0,12,9,2,2,5,12,18,-6,8,2022-2023_C
12.0,Atlético de San Luis,17,5,4,8,16,21,-5,19,8,4,3,1,10,5,5,15,9,1,1,7,6,16,-10,4,2022-2023_C
13.0,Santos Laguna,17,5,4,8,23,37,-14,19,8,3,1,4,12,20,-8,10,9,2,3,4,11,17,-6,9,2022-2023_C
14.0,Pumas,17,5,3,9,24,32,-8,18,8,4,1,3,17,14,3,13,9,1,2,6,7,18,-11,5,2022-2023_C
15.0,Tijuana,17,3,7,7,19,29,-10,16,9,2,6,1,10,8,2,12,8,1,1,6,9,21,-12,4,2022-2023_C
16.0,FC Juárez,17,3,6,8,17,25,-8,15,8,2,3,3,9,8,1,9,9,1,3,5,8,17,-9,6,2022-2023_C
17.0,Necaxa,17,3,5,9,16,24,-8,14,9,2,4,3,10,11,-1,10,8,1,1,6,6,13,-7,4,2022-2023_C
18.0,Mazatlán FC,17,2,1,14,19,41,-22,7,9,1,0,8,11,18,-7,3,8,1,1,6,8,23,-15,4,2022-2023_C
1.0,América,17,12,2,3,38,17,21,38,8,6,2,0,20,6,14,20,9,6,0,3,18,11,7,18,2022-2023_A
2.0,Monterrey,17,10,5,2,29,13,16,35,8,5,3,0,14,5,9,18,9,5,2,2,15,8,7,17,2022-2023_A
3.0,Santos Laguna,17,10,3,4,38,21,17,33,9,8,1,0,24,7,17,25,8,2,2,4,14,14,0,8,2022-2023_A
4.0,Pachuca,17,9,5,3,28,15,13,32,9,6,2,1,17,6,11,20,8,3,3,2,11,9,2,12,2022-2023_A
5.0,Tigres,17,9,3,5,24,14,10,30,8,5,1,2,12,6,6,16,9,4,2,3,12,8,4,14,2022-2023_A
6.0,Toluca,17,7,6,4,27,23,4,27,9,4,4,1,17,13,4,16,8,3,2,3,10,10,0,11,2022-2023_A
7.0,Cruz Azul,17,7,3,7,26,34,-8,24,9,5,1,3,15,12,3,16,8,2,2,4,11,22,-11,8,2022-2023_A
8.0,Puebla,17,4,10,3,25,23,2,22,9,3,5,1,13,11,2,14,8,1,5,2,12,12,0,8,2022-2023_A
9.0,Guadalajara,17,5,7,5,19,17,2,22,9,3,4,2,7,7,0,13,8,2,3,3,12,10,2,9,2022-2023_A
10.0,León,17,6,4,7,25,29,-4,22,8,4,2,2,16,14,2,14,9,2,2,5,9,15,-6,8,2022-2023_A
11.0,FC Juárez,17,4,7,6,17,18,-1,19,9,2,5,2,11,10,1,11,8,2,2,4,6,8,-2,8,2022-2023_A
12.0,Necaxa,17,5,4,8,19,26,-7,19,8,3,1,4,11,15,-4,10,9,2,3,4,8,11,-3,9,2022-2023_A
13.0,Atlético de San Luis,17,4,6,7,15,23,-8,18,9,2,2,5,7,12,-5,8,8,2,4,2,8,11,-3,10,2022-2023_A
14.0,Mazatlán FC,17,3,8,6,17,24,-7,17,8,2,3,3,9,12,-3,9,9,1,5,3,8,12,-4,8,2022-2023_A
15.0,Tijuana,17,4,5,8,18,30,-12,17,8,2,2,4,9,13,-4,8,9,2,3,4,9,17,-8,9,2022-2023_A
16.0,Pumas,17,2,8,7,21,31,-10,14,9,2,4,3,11,15,-4,10,8,0,4,4,10,16,-6,4,2022-2023_A
17.0,Atlas,17,3,4,10,16,27,-11,13,8,3,2,3,10,10,0,11,9,0,2,7,6,17,-11,2,2022-2023_A
18.0,Querétaro,17,1,6,10,18,35,-17,9,8,1,4,3,10,13,-3,7,9,0,2,7,8,22,-14,2,2022-2023_A
