Equipo,xG_L,xG_V,temporada
Pachuca,1.99,1.77,2021-2022
Tigres,1.93,1.53,2021-2022
Monterrey,1.91,1.48,2021-2022
Santos Laguna,1.76,1.65,2021-2022
Tijuana,1.76,1.12,2021-2022
América,1.74,1.46,2021-2022
Pumas,1.71,1.44,2021-2022
Necaxa,1.65,1.67,2021-2022
León,1.63,1.19,2021-2022
Guadalajara,1.61,1.44,2021-2022
Atlas,1.6,1.41,2021-2022
Puebla,1.59,1.53,2021-2022
Club Atlético de San Luis,1.38,1.12,2021-2022
Toluca,1.35,1.15,2021-2022
Querétaro,1.33,1.13,2021-2022
Cruz Azul,1.32,1.09,2021-2022
FC Juárez,0.95,0.82,2021-2022
Mazatlán FC,0.78,0.71,2021-2022
